index,UrlLocal,UrlYoutube,gameAwayTeam,gameDate,gameHomeTeam,gameScore
0,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/,,Burnley,21/02/2015 - 18:00,Chelsea,1 - 1
1,england_epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/,,Arsenal,21/02/2015 - 18:00,Crystal Palace,1 - 2
2,england_epl/2014-2015/2015-02-21 - 18-00 Swansea 2 - 1 Manchester United/,,Manchester United,21/02/2015 - 18:00,Swansea,2 - 1
3,england_epl/2014-2015/2015-02-22 - 19-15 Southampton 0 - 2 Liverpool/,,Liverpool,22/02/2015 - 19:15,Southampton,0 - 2
4,england_epl/2015-2016/2015-08-08 - 19-30 Chelsea 2 - 2 Swansea/,,Swansea,08/08/2015 - 19:30,Chelsea,2 - 2
5,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace/,,Crystal Palace,29/08/2015 - 17:00,Chelsea,1 - 2
6,england_epl/2015-2016/2015-08-29 - 17-00 Manchester City 2 - 0 Watford/,,Watford,29/08/2015 - 17:00,Manchester City,2 - 0
7,england_epl/2015-2016/2015-09-12 - 14-45 Everton 3 - 1 Chelsea/,,Chelsea,12/09/2015 - 14:45,Everton,3 - 1
8,england_epl/2015-2016/2015-09-12 - 17-00 Crystal Palace 0 - 1 Manchester City/,,Manchester City,12/09/2015 - 17:00,Crystal Palace,0 - 1
9,england_epl/2015-2016/2015-09-19 - 19-30 Manchester City 1 - 2 West Ham/,,West Ham,19/09/2015 - 19:30,Manchester City,1 - 2
10,england_epl/2015-2016/2015-09-26 - 17-00 Liverpool 3 - 2 Aston Villa/,,Aston Villa,26/09/2015 - 17:00,Liverpool,3 - 2
11,england_epl/2015-2016/2015-10-17 - 17-00 Chelsea 2 - 0 Aston Villa/,,Aston Villa,17/10/2015 - 17:00,Chelsea,2 - 0
12,england_epl/2015-2016/2015-10-31 - 15-45 Chelsea 1 - 3 Liverpool/,,Liverpool,31/10/2015 - 15:45,Chelsea,1 - 3
13,england_epl/2015-2016/2015-11-07 - 18-00 Manchester United 2 - 0 West Brom/,,West Brom,07/11/2015 - 18:00,Manchester United,2 - 0
14,england_epl/2015-2016/2015-11-21 - 20-30 Manchester City 1 - 4 Liverpool/,,Liverpool,21/11/2015 - 20:30,Manchester City,1 - 4
15,england_epl/2015-2016/2015-11-29 - 15-00 Tottenham 0 - 0 Chelsea/,,Chelsea,29/11/2015 - 15:00,Tottenham,0 - 0
16,england_epl/2015-2016/2015-12-05 - 20-30 Chelsea 0 - 1 Bournemouth/,,Bournemouth,05/12/2015 - 20:30,Chelsea,0 - 1
17,england_epl/2015-2016/2015-12-19 - 18-00 Chelsea 3 - 1 Sunderland/,,Sunderland,19/12/2015 - 18:00,Chelsea,3 - 1
18,england_epl/2015-2016/2015-12-26 - 18-00 Manchester City 4 - 1 Sunderland/,,Sunderland,26/12/2015 - 18:00,Manchester City,4 - 1
19,england_epl/2015-2016/2016-01-03 - 16-30 Crystal Palace 0 - 3 Chelsea/,,Chelsea,03/01/2016 - 16:30,Crystal Palace,0 - 3
20,england_epl/2015-2016/2016-01-13 - 22-45 Chelsea 2 - 2 West Brom/,,West Brom,13/01/2016 - 22:45,Chelsea,2 - 2
21,england_epl/2015-2016/2016-02-07 - 19-00 Chelsea 1 - 1 Manchester United/,,Manchester United,07/02/2016 - 19:00,Chelsea,1 - 1
22,england_epl/2015-2016/2016-02-14 - 19-15 Manchester City 1 - 2 Tottenham/,,Tottenham,14/02/2016 - 19:15,Manchester City,1 - 2
23,england_epl/2015-2016/2016-03-02 - 23-00 Liverpool 3 - 0 Manchester City/,,Manchester City,02/03/2016 - 23:00,Liverpool,3 - 0
24,england_epl/2015-2016/2016-03-05 - 18-00 Chelsea 1 - 1 Stoke City/,,Stoke City,05/03/2016 - 18:00,Chelsea,1 - 1
25,england_epl/2015-2016/2016-03-19 - 18-00 Chelsea 2 - 2 West Ham/,,West Ham,19/03/2016 - 18:00,Chelsea,2 - 2
26,england_epl/2015-2016/2016-04-09 - 17-00 Swansea 1 - 0 Chelsea/,,Chelsea,09/04/2016 - 17:00,Swansea,1 - 0
27,england_epl/2015-2016/2016-04-09 - 19-30 Manchester City 2 - 1 West Brom/,,West Brom,09/04/2016 - 19:30,Manchester City,2 - 1
28,england_epl/2015-2016/2016-05-07 - 17-00 Sunderland 3 - 2 Chelsea/,,Chelsea,07/05/2016 - 17:00,Sunderland,3 - 2
29,england_epl/2016-2017/2016-08-14 - 18-00 Arsenal 3 - 4 Liverpool/,,Liverpool,14/08/2016 - 18:00,Arsenal,3 - 4
30,england_epl/2016-2017/2016-08-20 - 17-00 Burnley 2 - 0 Liverpool/,,Liverpool,20/08/2016 - 17:00,Burnley,2 - 0
31,england_epl/2016-2017/2016-08-20 - 19-30 Leicester 0 - 0 Arsenal/,,Arsenal,20/08/2016 - 19:30,Leicester,0 - 0
32,england_epl/2016-2017/2016-09-10 - 17-00 Arsenal 2 - 1 Southampton/,,Southampton,10/09/2016 - 17:00,Arsenal,2 - 1
33,england_epl/2016-2017/2016-09-16 - 22-00 Chelsea 1 - 2 Liverpool/,,Liverpool,16/09/2016 - 22:00,Chelsea,1 - 2
34,england_epl/2016-2017/2016-09-17 - 17-00 Hull City 1 - 4 Arsenal/,,Arsenal,17/09/2016 - 17:00,Hull City,1 - 4
35,england_epl/2016-2017/2016-09-24 - 19-30 Arsenal 3 - 0 Chelsea/,,Chelsea,24/09/2016 - 19:30,Arsenal,3 - 0
36,england_epl/2016-2017/2016-10-17 - 22-00 Liverpool 0 - 0 Manchester United/,,Manchester United,17/10/2016 - 22:00,Liverpool,0 - 0
37,england_epl/2016-2017/2016-10-22 - 19-30 Liverpool 2 - 1 West Brom/,,West Brom,22/10/2016 - 19:30,Liverpool,2 - 1
38,england_epl/2016-2017/2016-10-29 - 14-30 Sunderland 1 - 4 Arsenal/,,Arsenal,29/10/2016 - 14:30,Sunderland,1 - 4
